Year,COMMENT_OBS,Value
2011,Based on data from ICES. Estimated from grouped consumption data. ,17
2017,Based on data from PICES. Estimated from unit-record consumption data. ,13
2019,Based on data from PICES. Estimated from imputed unit-record consumption data. ,17
