Year,UPPER_BOUND,LOWER_BOUND,Value
2000,74.1084,66.4167,74.10843
2001,74.1084,66.4167,74.10843
2002,81.7451,81.7451,81.74512
2003,81.7451,81.7451,81.74512
2004,81.7451,81.7451,81.74512
2005,81.7451,81.7451,81.74512
2006,81.7451,81.7451,81.74512
2007,81.7451,81.7451,81.74512
2008,81.7451,81.7451,81.74512
2009,81.7451,81.7451,81.74512
2010,81.7451,81.7451,81.74512
2011,81.7451,81.7451,81.74512
2012,81.7451,81.7451,81.74512
2013,81.7451,81.7451,81.74512
2014,81.7451,81.7451,81.74512
2015,81.7451,81.7451,81.74512
2016,81.7451,81.7451,81.74512
2017,81.7451,81.7451,81.74512
2018,81.7451,81.7451,81.74512
2019,81.7451,81.7451,81.74512
2020,81.7451,81.7451,81.74512
2021,81.7451,81.7451,81.74512
