Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Value
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,6386.0
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,8967.0
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,10185.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,10200.0
2007,C,Post and Telecommunications Regulatory Authority (POTRAZ).,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,15210.0
2008,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,18000.0
2009,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,47130.0
2010,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,33000.0
2011,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,34000.0
2012,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,71905.0
2013,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,103916.0
2014,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,152234.0
2015,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,163987.0
2016,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,170838.0
2017,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,187310.0
2018,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,203056.0
2019,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,204424.0
2020,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],,Number,Country Data,POTRAZ,203461.0
2012,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,68548.0
2013,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,96853.0
2014,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,138865.0
2015,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,149123.0
2016,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,154811.0
2017,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,146437.0
2018,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,139995.0
2019,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,132520.0
2020,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Number,Country Data,POTRAZ,125092.0
2012,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,2897.0
2013,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,5674.0
2014,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,12245.0
2015,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,13083.0
2016,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,14151.0
2017,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,33947.0
2018,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,52682.0
2019,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,59028.0
2020,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,Country Data,POTRAZ,61893.0
2013,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,947.0
2014,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,1124.0
2015,C,Postal and Telecommunications Regulatory Authority,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,1781.0
2016,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,1876.0
2017,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,6926.0
2018,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,10379.0
2019,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,12876.0
2020,C,POTRAZ,Fixed broadband subscriptions (number) [17.6.1],Internet speed: 10 Mbit/s or above,Number,Country Data,POTRAZ,16476.0
