Indicator,Disaggregation combinations using this value
#1-3-1,11
#1-a-2,1
#10-3-1,50
#15-1-1,2
#15-2-1,2
#16-b-1,50
#17-6-1,5
#17-8-1,2
#2-5-1,3
#2-a-1,5
#3-3-3,7
#4-1-2,6
#4-2-2,3
#4-5-1,1
#6-3-1,1
#6-6-1,20
#9-2-1,2
#9-b-1,1
#9-c-1,1
