Indicator,Disaggregation combinations using this value
#1-5-1,9
#1-5-4,2
#11-5-1,9
#11-b-2,2
#13-1-1,9
#13-1-3,2
#16-1-1,3
#16-7-1,12
#17-6-1,10
#2-1-2,36
#2-2-1,21
#2-2-2,27
#3-2-1,6
#3-2-2,1
#3-4-1,60
#3-4-2,15
#5-5-1,4
