Value,Disaggregation combinations using this value,Number of indicators
487.7,1,1
4.9,2,2
4977,1,1
498,1,1
500,1,1
50.2,1,1
507,1,1
508.6,1,1
50.8,1,1
508,2,2
5104,1,1
51.4,1,1
518,1,1
5.1,1,1
520.5,1,1
52.3,1,1
525,1,1
53.7966,1,1
53.8,1,1
539.9,1,1
5.3,1,1
542,1,1
544,1,1
549,1,1
549.2,1,1
55.1,1,1
552.8,1,1
5.5,1,1
56.1,1,1
564.2,1,1
568,1,1
5680,1,1
5.6,1,1
57,1,1
570.7,1,1
57.1,1,1
57.3,1,1
575.8,1,1
577,1,1
5.7,1,1
58,1,1
581,1,1
58.3425,1,1
58.4,1,1
5858,1,1
586,1,1
587,1,1
5.8,1,1
5.9,2,2
590,1,1
59.0946,1,1
59.1,1,1
59.2,1,1
596,1,1
596.3,1,1
596.9,1,1
597,1,1
5.98347,1,1
59.957,1,1
60.2,1,1
6031,1,1
604,1,1
605,1,1
60.6,1,1
60.8,1,1
61.1,1,1
611.7,1,1
61.8,1,1
618.9,1,1
62,1,1
622,1,1
62.5,1,1
626.5,1,1
6293,1,1
6297,1,1
6.2,1,1
63,1,1
6335,1,1
63.3,1,1
63.5,1,1
63.6,1,1
636.2,1,1
637.6,1,1
641,1,1
642.8,1,1
64.4,1,1
64.9,1,1
6.5,1,1
65.6,1,1
65.7531,1,1
65.8428,1,1
66.1586,1,1
66.4167,1,1
6.65021,1,1
6.7,1,1
6879,1,1
68.8,1,1
69.7,1,1
6,1,1
70.8489,1,1
7.1,1,1
720,1,1
728,1,1
729,1,1
73.5384,1,1
7.4,1,1
74.036,1,1
74,1,1
7.5,2,1
75.2231,1,1
77,1,1
7.71302,1,1
780,1,1
798,1,1
80,1,1
8028,1,1
81.2176,1,1
81.7451,1,1
820,1,1
82.0115,1,1
821,1,1
82.1,1,1
83.5,1,1
836,1,1
840,1,1
8434.8,1,1
84.6,1,1
848,1,1
85.4,1,1
8.6,1,1
86.7,1,1
872,1,1
882,1,1
88.3,1,1
890,1,1
8907.6,1,1
90.2,1,1
9051.6,1,1
9094.4,1,1
912.3,1,1
91.9,1,1
922.1,1,1
93.6,1,1
95.3,1,1
9615.2,1,1
9.6,1,1
9.7,1,1
97.3,1,1
980.1,1,1
99.2,1,1
9,1,1
