Indicator,Disaggregation combinations using this value
#1-a-2,1
#10-3-1,105
#15-1-1,3
#15-2-1,4
#16-b-1,105
#17-6-1,9
#17-8-1,3
#2-5-1,2
#2-a-1,3
#3-7-2,7
#4-1-2,719
#4-2-2,14
#4-5-1,568
#6-6-1,2
#7-1-1,2
#9-1-2,2
#9-c-1,6
