Indicator,Disaggregation combinations using this value
#1-5-2,1
#1-5-4,1
#11-5-2,1
#11-b-2,1
#12-4-2,7
#12-c-1,1
#13-1-3,1
#14-5-1,1
#15-1-1,1
#15-2-1,3
#17-1-1,1
#17-13-1,14
#2-1-2,36
#2-2-1,21
#2-2-2,27
#2-a-1,5
#3-4-1,15
#3-c-1,4
#5-5-1,4
#6-3-1,2
#6-6-1,15
#9-2-1,3
