Indicator
#1-1-1
#1-2-1
#1-3-1
#1-4-2
#1-5-1
#1-a-1
#10-2-1
#10-6-1
#10-a-1
#11-5-1
#12-2-2
#12-3-1
#12-4-2
#12-a-1
#12-b-1
#13-1-1
#15-1-1
#15-2-1
#15-6-1
#15-8-1
#16-6-1
#16-7-1
#16-8-1
#16-a-1
#17-10-1
#17-12-1
#17-17-1
#17-18-3
#17-19-2
#17-3-2
#17-8-1
#17-9-1
#2-1-2
#2-2-1
#2-2-2
#2-5-1
#2-a-1
#2-a-2
#2-c-1
#3-b-2
#3-d-1
#4-1-2
#4-5-1
#5-5-1
#5-5-2
#5-6-2
#6-2-1
#6-3-1
#6-a-1
#6-b-1
#7-b-1
#8-3-1
#8-4-2
#8-5-2
#8-6-1
#8-8-1
#8-a-1
#9-1-2
#9-2-2
#9-a-1
