Indicator,Disaggregation combinations using this value
#1-3-1,11
#10-3-1,50
#15-1-1,3
#15-2-1,2
#16-b-1,50
#17-6-1,4
#4-1-2,48
#6-3-1,1
#6-6-1,20
#9-2-1,4
