Indicator,Disaggregation combinations using this value
#1-3-1,1
#10-6-1,20
#10-a-1,2
#12-2-2,9
#12-b-1,1
#15-2-1,2
#15-6-1,2
#16-8-1,20
#17-10-1,2
#17-12-1,2
#5-6-2,3
#6-2-1,2
#6-3-1,1
#8-4-2,9
#9-1-2,2
