Indicator
#1-1-1
#1-3-1
#10-3-1
#15-1-1
#15-2-1
#16-b-1
#17-6-1
#2-2-2
#3-7-2
#4-1-2
#6-3-1
#6-6-1
#7-1-1
#9-1-2
#9-2-1
