Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-4-1,2
#10-3-1,31
#11-6-2,1
#16-b-1,31
#4-1-2,231
#4-5-1,111
#6-1-1,1
#6-2-1,3
#6-b-1,3
#7-1-1,1
#8-10-2,1
