Indicator,Disaggregation combinations using this value
#10-3-1,105
#15-1-1,2
#15-2-1,4
#16-b-1,105
#17-6-1,10
#3-7-2,10
#4-1-2,677
#6-6-1,2
#7-1-1,4
#9-1-2,2
