Year,COMMENT_OBS,Value
2004,Data reference period: June,5.9
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,5.0
2014,Repository: ILO-STATISTICS - Micro data processing,4.0
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,7.6
