Year,NATURE,SOURCE_DETAIL,SDG Series,Value
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],70.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],72.0
2007,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],75.0
2008,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],75.0
2009,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],41.0
2010,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],61.0
2011,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],72.4
2012,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],81.0
2013,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],84.0
2014,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],88.0
2015,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 2G mobile network [9.c.1],88.7
2016,C,POTRAZ,Proportion of population covered by at least a 2G mobile network [9.c.1],88.9
2017,C,POTRAZ,Proportion of population covered by at least a 2G mobile network [9.c.1],90.09
2018,C,POTRAZ,Proportion of population covered by at least a 2G mobile network [9.c.1],93.0
2019,C,POTRAZ,Proportion of population covered by at least a 2G mobile network [9.c.1],93.4
2020,C,POTRAZ,Proportion of population covered by at least a 2G mobile network [9.c.1],93.44
2010,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],5.0
2011,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],15.0
2012,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],35.0
2013,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],52.0
2014,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],53.0
2015,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 3G mobile network [9.c.1],55.1
2016,C,POTRAZ,Proportion of population covered by at least a 3G mobile network [9.c.1],55.25
2017,C,POTRAZ,Proportion of population covered by at least a 3G mobile network [9.c.1],78.2
2018,C,POTRAZ,Proportion of population covered by at least a 3G mobile network [9.c.1],84.0
2019,C,POTRAZ,Proportion of population covered by at least a 3G mobile network [9.c.1],84.2
2020,C,POTRAZ,Proportion of population covered by at least a 3G mobile network [9.c.1],84.28
2014,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 4G mobile network [9.c.1],2.0
2015,C,Postal and Telecommunications Regulatory Authority,Proportion of population covered by at least a 4G mobile network [9.c.1],11.0
2016,C,POTRAZ,Proportion of population covered by at least a 4G mobile network [9.c.1],22.64
2017,C,POTRAZ,Proportion of population covered by at least a 4G mobile network [9.c.1],34.72
2018,C,POTRAZ,Proportion of population covered by at least a 4G mobile network [9.c.1],35.0
2019,C,POTRAZ,Proportion of population covered by at least a 4G mobile network [9.c.1],35.0
2020,C,POTRAZ,Proportion of population covered by at least a 4G mobile network [9.c.1],35.0
