Year,UPPER_BOUND,LOWER_BOUND,Value
2000,1320,166,605
2001,1230,211,617
2002,1150,247,617
2003,1230,213,617
2004,1210,208,607
2005,1440,114,588
2006,1330,121,561
2007,1200,129,527
2008,1050,137,487
2009,799,200,450
2010,642,238,416
2011,629,199,384
2012,570,190,355
2013,440,192,304
2014,404,176,278
2015,330,167,242
2016,315,163,233
2017,295,158,221
2018,276,153,210
2019,258,147,199
2020,251,142,193
