Year,SDG Series,Value
2011,Number of disruptions to basic services attributed to disasters [11.5.3],0
2017,Number of disruptions to basic services attributed to disasters [11.5.3],0
2018,Number of disruptions to basic services attributed to disasters [11.5.3],0
2019,Number of disruptions to basic services attributed to disasters [11.5.3],0
2011,Number of damaged critical infrastructure attributed to disasters [11.5.3],0
2011,Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters [11.5.3],0
2011,Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],0
2011,Number of destroyed or damaged health facilities attributed to disasters [11.5.3],0
2011,Number of disruptions to other basic services attributed to disasters [11.5.3],0
2017,Number of disruptions to other basic services attributed to disasters [11.5.3],0
2018,Number of disruptions to other basic services attributed to disasters [11.5.3],0
2019,Number of disruptions to other basic services attributed to disasters [11.5.3],0
