Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Value
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00782
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00782
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00781
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00791
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.008
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00809
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00806
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00806
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00794
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00776
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00771
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00772
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0076
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir minimum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00756
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3061.33832
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3179.46053
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3320.42091
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3334.81017
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3341.95575
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3351.16557
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3312.19951
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3269.36064
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3239.11909
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3248.99066
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3248.32981
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3277.37795
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3310.29746
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3331.83707
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3321.94272
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3326.89615
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3300.5737
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3233.8223
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3242.58768
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3278.1174
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3246.56846
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,3233.94023
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00791
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00822
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00858
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00862
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00864
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00866
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00856
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00845
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00837
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0084
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0084
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00847
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00856
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00861
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00859
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.0086
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00853
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00836
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00838
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00847
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00839
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Reservoir maximum water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.00836
2021,C,Ramsar National Report COP14,Extent of human made wetlands (square kilometres) [6.6.1],,Square kilometers,Country Data,Ramsar National Report COP14,6521.51
2021,C,Ramsar National Report COP14,Extent of inland wetlands (square kilometres) [6.6.1],,Square kilometers,Country Data,Ramsar National Report COP14,111717.4
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,2195.62
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,0.56
