Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2017,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,,,665035
2020,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,,,9997246
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),Obs_Value = 0;  ,,523466704
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),Obs_Value = 0;  ,Obs_Value = 0;  ,0
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),Obs_Value = 0;  ,Obs_Value = 0;  ,0
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,5275365427
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,12983800000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,12178000000
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,3368828236
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,9892000000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,9385000000
2017,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,,,171543067
2020,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,,,226308006
2018,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,1560
2019,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,269200000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,219000000
2018,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,8352566324
2019,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,23883709091
2020,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),,,219000000
