Year,COMMENT_OBS,SDG Series,Value
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Proportion of women in managerial positions [5.5.2],20.59
2014,Repository: ILO-STATISTICS - Micro data processing,Proportion of women in managerial positions [5.5.2],27.55
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Proportion of women in managerial positions [5.5.2],33.7
2011,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Proportion of women in senior and middle management positions [5.5.2],22.8
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Proportion of women in senior and middle management positions [5.5.2],28.1
