Year,Sex,Value
2000,,21.0
2005,,18.1
2010,,15.6
2015,,13.6
2018,,12.1
2019,,12.1
2020,,11.7
2000,Female,4.6
2005,Female,3.5
2010,Female,2.6
2015,Female,2.0
2018,Female,1.7
2019,Female,1.6
2020,Female,1.5
2000,Male,37.3
2005,Male,32.7
2010,Male,28.6
2015,Male,25.1
2018,Male,23.0
2019,Male,22.5
2020,Male,21.8
