Year,Value
2006,0.13578
2007,0.05179
2008,0.21321
2009,2.50356
2010,0.96611
2011,0.9964
2012,1.37589
2013,1.5908
2014,1.696
2015,3.35073
2016,1.48781
2017,1.8222
2018,2.72608
2019,3.53943
2020,1.84314
