Year,NATURE,Value
2000,CA,9.9
2001,CA,9.9
2002,CA,9.9
2003,CA,9.9
2004,CA,9.9
2005,CA,9.9
2006,CA,9.9
2007,CA,9.9
2008,CA,9.9
2009,CA,9.9
2010,CA,24.65
2011,CA,21.1
2012,CA,19.68
2013,CA,21.79
2014,CA,23.48
2015,CA,21.2
2016,CA,25.99
2017,CA,21.51
2018,CA,21.39
2019,E,21.39
