Year,COMMENT_OBS,Value
2009,data provided by WB Economists.2007-2008 - Hyperinflation in the country,5.6466
2010,data provided by WB Economists.,40.9289
2011,data provided by WB Economists.,66.8995
2012,data provided by WB Economists.,60.1143
2013,data provided by WB Economists.,92.4435
2014,data provided by WB Economists.,97.7339
2015,data provided by WB Economists.,85.4348
2016,data provided by WB Economists.,92.9025
2017,data provided by WB Economists.,74.8271
2018,data provided by WB Economists.,81.0727
