Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,5.6,1,,8,1.2,2.6
2005,6.2,1.1,,8,1.2,2.9
2010,10.1,1.7,,8,1.2,4.6
2015,9.6,1.5,,8,1.2,4.3
2019,8,1.2,,8,1.2,3.5
2000,5.3,0.9,Female,6.3,0.9,2.4
2005,5.4,1,Female,6.3,0.9,2.5
2010,8.2,1.3,Female,6.3,0.9,3.8
2015,7.6,1.2,Female,6.3,0.9,3.5
2019,6.3,0.9,Female,6.3,0.9,2.8
2000,6,1.1,Male,9.9,1.5,2.8
2005,7.2,1.2,Male,9.9,1.5,3.3
2010,12.1,2,Male,9.9,1.5,5.5
2015,11.8,1.8,Male,9.9,1.5,5.1
2019,9.9,1.5,Male,9.9,1.5,4.3
