Year,Value
2000,69.26
2001,71.53
2002,74.3
2003,77.83
2004,81.58
2005,80.15
2006,78.59
2007,77.97
2008,81.86
2009,82.09
2010,82.27
2011,79.27
2012,77.5
2013,78.87
2014,80.27
2015,80.82
2016,81.9
2017,82.46
2018,80.23
2019,81.5
