Year,Value
2000,212.78
2001,187.67167
2002,214.66667
2003,279.28483
2004,339.32817
2005,398.95817
2006,62.94
2007,483.78767
2008,622.48767
2009,637.00767
2010,743.27309
2011,729.62
2012,1048.56685
2013,867.83138
2014,772.13412
2015,829.6486
2016,501.24572
2017,672.87071
2018,745.66495
2019,806.12755
2020,983.8766
