Year,SDG Series,Unit of measure,Value
2021,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) [14.5.1],Percent,0
2021,Protected marine area (Exclusive Economic Zones) (square kilometres) [14.5.1],Square kilometers,0
