From,To
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Observation-level footnotes,Composite breakdown
Observation-level footnotes,Economic activity
Unit of measure,Source details
Source details,COMMENT_OBS
COMMENT_OBS,Observation-level footnotes
