From,To
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Source details,Economic activity
Economic activity,COMMENT_OBS
Unit of measure,Nature of data points
Nature of data points,Source details
COMMENT_OBS,Observation-level footnotes
