Year,UPPER_BOUND,LOWER_BOUND,Value
2000,667,500,579
2001,723,544,629
2002,766,577,666
2003,779,590,680
2004,784,597,686
2005,782,596,685
2006,779,590,680
2007,772,581,671
2008,758,568,657
2009,734,542,632
2010,699,508,598
2011,658,468,557
2012,629,439,528
2013,611,419,509
2014,598,402,494
2015,588,385,480
2016,580,372,468
2017,577,360,458
